date,open,high,low,close,volume
2021-01-06,603444,419.55,433.0,433.0,413.0
2021-01-07,603444,387.58,423.77,420.0,383.87
2021-01-08,603444,367.18,395.77,370.1,357.0
2021-01-11,603444,330.46,368.1,368.03,330.46
2021-01-12,603444,308.44,325.33,322.56,299.19
2021-01-13,603444,307.32,315.3,304.96,296.34
2021-01-14,603444,311.94,316.47,307.88,300.22
2021-01-15,603444,306.31,311.93,311.92,303.08
2021-01-18,603444,316.06,319.28,307.01,304.0
2021-01-19,603444,309.0,317.95,315.05,306.08
2021-01-20,603444,305.74,309.44,307.0,303.33
2021-01-21,603444,313.75,314.8,305.0,305.0
2021-01-22,603444,311.89,318.0,313.81,308.0
2021-01-25,603444,328.11,329.85,312.1,310.05
2021-01-26,603444,338.66,346.8,325.77,322.62
2021-01-27,603444,354.65,359.5,338.9,330.03
2021-01-28,603444,340.99,362.57,350.0,337.68
2021-01-29,603444,343.01,350.99,341.99,333.45
2021-02-01,603444,350.12,353.19,338.55,338.31
2021-02-02,603444,346.05,362.8,355.21,341.0
2021-02-03,603444,372.26,379.93,351.0,351.0
2021-02-04,603444,349.88,373.05,372.26,344.66
2021-02-05,603444,334.0,355.68,349.92,333.66
2021-02-08,603444,336.87,341.47,336.13,324.6
2021-02-09,603444,336.99,341.6,336.6,331.77
2021-02-10,603444,330.13,341.0,336.99,327.51
2021-02-18,603444,338.31,349.9,337.0,331.08
2021-02-19,603444,358.87,362.47,338.35,333.33
2021-02-22,603444,346.59,369.36,361.0,341.37
2021-02-23,603444,355.84,360.88,343.5,333.88
2021-02-24,603444,344.7,359.66,351.01,342.0
2021-02-25,603444,326.42,348.1,345.0,325.98
2021-02-26,603444,312.06,324.47,317.99,306.86
2021-03-01,603444,330.36,330.74,311.6,310.6
2021-03-02,603444,334.0,337.0,333.29,328.1
2021-03-03,603444,366.4,367.34,337.0,330.67
2021-03-04,603444,367.0,371.88,364.99,354.01
2021-03-05,603444,376.08,381.93,364.25,360.0
2021-03-08,603444,376.35,396.62,380.01,375.12
2021-03-09,603444,360.0,380.88,373.7,354.0
2021-03-10,603444,354.95,366.86,361.78,350.56
2021-03-11,603444,355.94,361.55,353.25,348.2
2021-03-12,603444,356.79,358.0,356.0,347.5
2021-03-15,603444,324.84,349.65,349.65,321.11
2021-03-16,603444,344.5,346.79,324.0,324.0
2021-03-17,603444,349.01,351.0,344.19,334.59
2021-03-18,603444,351.22,352.96,349.28,344.0
2021-03-19,603444,341.01,354.8,348.8,338.0
2021-03-22,603444,351.21,361.0,342.16,342.0
2021-03-23,603444,349.01,358.63,353.01,347.0
2021-03-24,603444,342.77,355.85,348.11,338.88
2021-03-25,603444,342.33,348.0,342.77,335.79
2021-03-26,603444,344.19,348.89,344.0,338.19
2021-03-29,603444,343.7,351.07,345.26,341.6
