trade_date,ts_code,name,close,p_change,rank,market_type,amount,net_amount,sh_amount,sh_net_amount,sh_buy,sh_sell,sz_amount,sz_net_amount,sz_buy,sz_sell
20241119,02800.HK,盈富基金,19.79,0.08,4,4,,,,,,,672353795.0,-660318585.0,6017605.0,666336190.0
20241119,00700.HK,腾讯控股,406.2,2.0,3,4,,,,,,,846327820.0,12863380.0,429595600.0,416732220.0
20241119,09988.HK,阿里巴巴-W,85.25,-1.05,2,4,,,,,,,1036957425.0,372026425.0,704491925.0,332465500.0
20241119,01810.HK,小米集团-W,28.3,-0.5,1,4,,,,,,,1365351780.0,172632060.0,768991920.0,596359860.0
20241119,09868.HK,小鹏汽车-W,51.95,1.75,10,2,,,563377565.0,118928855.0,341153210.0,222224355.0,,,,
20241119,01918.HK,融创中国,2.72,0.03,9,2,,,664239720.0,-25819940.0,319209890.0,345029830.0,,,,
20241119,03690.HK,美团-W,171.9,2.9,8,2,,,967894127.0,129844953.0,548869540.0,419024587.0,,,,
20241119,00883.HK,中国海洋石油,17.16,0.12,7,2,,,976661820.0,-58113220.0,459274300.0,517387520.0,,,,
20241119,00981.HK,中芯国际,27.1,0.65,6,2,,,1022074750.0,-31880700.0,495097025.0,526977725.0,,,,
20241119,09988.HK,阿里巴巴-W,85.25,-1.05,5,2,,,1069360370.0,-175120910.0,447119730.0,622240640.0,,,,
20241119,02828.HK,恒生中国企业,72.28,0.28,4,2,,,1145987328.0,-1089205360.0,28390984.0,1117596344.0,,,,
20241119,00700.HK,腾讯控股,406.2,2.0,3,2,,,1456915800.0,575669080.0,1016292440.0,440623360.0,,,,
20241119,02800.HK,盈富基金,19.79,0.08,2,2,,,1796795575.0,-1793415045.0,1690265.0,1795105310.0,,,,
20241119,01810.HK,小米集团-W,28.3,-0.5,1,2,,,2122297115.0,227384225.0,1174840670.0,947456445.0,,,,
20241118,00175.HK,吉利汽车,13.76,0.58,10,4,,,,,,,403267900.0,207371140.0,305319520.0,97948380.0
20241118,01918.HK,融创中国,2.69,0.09,9,4,,,,,,,430946670.0,-42976830.0,193984920.0,236961750.0
20241118,00981.HK,中芯国际,26.45,0.05,8,4,,,,,,,623655315.0,175001635.0,399328475.0,224326840.0
20241118,03033.HK,南方恒生科技,4.266,0.024,7,4,,,,,,,637737404.0,606920360.0,622328882.0,15408522.0
20241118,03690.HK,美团-W,169.0,-0.6,6,4,,,,,,,673691287.0,437982953.0,555837120.0,117854167.0
20241118,01810.HK,小米集团-W,28.8,0.8,5,4,,,,,,,786730416.0,287528784.0,537129600.0,249600816.0
20241118,00883.HK,中国海洋石油,17.04,0.22,4,4,,,,,,,907359579.0,247914581.0,577637080.0,329722499.0
