ts_code,trade_date,suspend_timing,suspend_type
600129.SH,19990823,,S
600108.SH,19990823,,S
600186.SH,19990823,,S
600100.SH,19990824,,S
600850.SH,19990824,,S
000538.SZ,19990824,,S
000594.SZ,19990824,,S
600629.SH,19990827,,S
600770.SH,19990827,,S
000806.SZ,19990827,,S
600827.SH,19990830,,S
600138.SH,19990830,,S
000545.SZ,19990830,,S
000514.SZ,19990830,,S
000760.SZ,19990830,,S
600775.SH,19990830,,S
600805.SH,19990830,,S
000627.SZ,19990831,,S
600120.SH,19990831,,S
600880.SH,19990831,,S
600218.SH,19990831,,S
600808.SH,19990831,,S
000507.SZ,19990831,,S
600057.SH,19990901,,S
600759.SH,19990901,,S
600123.SH,19990901,,S
000556.SZ,19990901,,S
600759.SH,19990902,,S
000556.SZ,19990902,,S
000636.SZ,19990902,,S
600700.SH,19990902,,S
000719.SZ,19990903,,S
600105.SH,19990903,,S
600096.SH,19990903,,S
000718.SZ,19990903,,S
600759.SH,19990903,,S
000515.SZ,19990903,,S
001896.SZ,19990903,,S
000556.SZ,19990903,,S
000635.SZ,19990903,,S
600095.SH,19990903,,S
600091.SH,19990903,,S
000556.SZ,19990906,,S
600759.SH,19990906,,S
000839.SZ,19990906,,S
600878.SH,19990906,,S
600722.SH,19990906,,S
600208.SH,19990907,,S
600759.SH,19990907,,S
600746.SH,19990907,,S
000767.SZ,19990907,,S
000556.SZ,19990907,,S
000732.SZ,19990907,,S
000556.SZ,19990908,,S
000819.SZ,19990908,,S
600759.SH,19990908,,S
000848.SZ,19990908,,S
000556.SZ,19990909,,S
000594.SZ,19990909,,S
000922.SZ,19990909,,S
600759.SH,19990909,,S
000753.SZ,19990909,,S
000515.SZ,19990910,,S
600120.SH,19990910,,S
000065.SZ,19990910,,S
600759.SH,19990910,,S
000926.SZ,19990910,,S
000825.SZ,19990910,,S
000002.SZ,19990910,,S
000556.SZ,19990910,,S
000681.SZ,19990910,,S
000759.SZ,19990910,,S
000605.SZ,19990910,,S
600092.SH,19990913,,S
600063.SH,19990913,,S
000831.SZ,19990913,,S
600759.SH,19990913,,S
000556.SZ,19990913,,S
000556.SZ,19990914,,S
600785.SH,19990914,,S
600759.SH,19990914,,S
600195.SH,19990915,,S
600759.SH,19990915,,S
000538.SZ,19990915,,S
600200.SH,19990915,,S
600121.SH,19990915,,S
000556.SZ,19990915,,S
600090.SH,19990915,,S
000556.SZ,19990916,,S
600090.SH,19990916,,S
000680.SZ,19990916,,S
000040.SZ,19990916,,S
600759.SH,19990916,,S
000895.SZ,19990916,,S
600759.SH,19990917,,S
600090.SH,19990917,,S
600753.SH,19990917,,S
600844.SH,19990917,,S
000556.SZ,19990917,,S
600616.SH,19990917,,S
600780.SH,19990920,,S
600707.SH,19990920,,S
000024.SZ,19990920,,S
000630.SZ,19990920,,S
600761.SH,19990920,,S
600654.SH,19990920,,S
600090.SH,19990920,,S
600862.SH,19990920,,S
000556.SZ,19990920,,S
600759.SH,19990920,,S
000418.SZ,19990920,,S
000603.SZ,19990920,,S
000887.SZ,19990920,,S
600747.SH,19990920,,S
600064.SH,19990920,,S
000858.SZ,19990921,,S
000899.SZ,19990921,,S
000691.SZ,19990921,,S
000763.SZ,19990921,,S
600759.SH,19990921,,S
600888.SH,19990921,,S
000796.SZ,19990921,,S
600682.SH,19990921,,S
600069.SH,19990921,,S
000556.SZ,19990921,,S
600090.SH,19990921,,S
000415.SZ,19990922,,S
600090.SH,19990922,,S
000556.SZ,19990922,,S
000811.SZ,19990922,,S
600759.SH,19990922,,S
600759.SH,19990923,,S
000821.SZ,19990923,,S
000556.SZ,19990923,,S
600811.SH,19990924,,S
000682.SZ,19990924,,S
000556.SZ,19990924,,S
600885.SH,19990924,,S
600759.SH,19990924,,S
600080.SH,19990924,,S
000730.SZ,19990927,,S
000673.SZ,19990927,,S
000069.SZ,19990927,,S
600830.SH,19990927,,S
600799.SH,19990927,,S
000633.SZ,19990927,,S
000795.SZ,19990927,,S
000619.SZ,19990927,,S
600885.SH,19990927,,S
600759.SH,19990927,,S
600127.SH,19990927,,S
600794.SH,19990927,,S
000556.SZ,19990927,,S
000667.SZ,19990927,,S
600744.SH,19990927,,S
000556.SZ,19990928,,S
000010.SZ,19990928,,S
600883.SH,19990928,,S
000797.SZ,19990928,,S
600652.SH,19990928,,S
000918.SZ,19990928,,S
000617.SZ,19990928,,S
000547.SZ,19990928,,S
600152.SH,19990928,,S
600759.SH,19990928,,S
600842.SH,19990928,,S
600852.SH,19990928,,S
000016.SZ,19990928,,S
600885.SH,19990928,,S
000619.SZ,19990928,,S
600191.SH,19990928,,S
600735.SH,19990928,,S
600804.SH,19990929,,S
600735.SH,19990929,,S
