trade_date,ts_code,ts_name,buy_amount,sell_amount,net_amount,hm_name,hm_orgs
20241227,002364.SZ,中恒电气,83504685.0,72813112.0,10691573.0,机构专用,机构专用
20241227,002449.SZ,国星光电,1425987.0,61469958.0,-60043971.0,机构专用,机构专用
20241227,301315.SZ,威士顿,43542099.0,19518641.0,24023458.0,机构专用,机构专用
20241227,002055.SZ,得润电子,2562000.0,0.0,2562000.0,机构专用,机构专用
20241227,002075.SZ,沙钢股份,16749903.0,12391964.0,4357939.0,机构专用,机构专用
20241227,002137.SZ,实益达,55574603.0,54663096.0,911507.0,机构专用,机构专用
20241227,002219.SZ,新里程,25012312.0,6464502.0,18547810.0,机构专用,机构专用
20241227,002878.SZ,元隆雅图,8443651.0,47582688.0,-39139037.0,机构专用,机构专用
20241227,002067.SZ,景兴纸业,68572351.0,20740790.0,47831561.0,机构专用,机构专用
20241227,002577.SZ,雷柏科技,7568171.0,13366606.0,-5798435.0,机构专用,机构专用
20241227,000880.SZ,潍柴重机,85693590.0,34552435.0,51141155.0,机构专用,机构专用
20241227,002272.SZ,川润股份,90927767.0,93851419.0,-2923652.0,机构专用,机构专用
20241227,301536.SZ,星宸科技,25432243.0,30438350.0,-5006107.0,机构专用,机构专用
20241227,301598.SZ,博科测试,6555818.0,23463379.0,-16907561.0,机构专用,机构专用
20241227,002518.SZ,科士达,152967537.0,98565984.0,54401553.0,机构专用,机构专用
20241227,300141.SZ,和顺电气,7268232.0,14315638.0,-7047406.0,机构专用,机构专用
20241227,300189.SZ,神农种业,91954511.0,29430250.0,62524261.0,机构专用,机构专用
20241227,300599.SZ,雄塑科技,11801339.0,7550732.0,4250607.0,机构专用,机构专用
20241227,300252.SZ,金信诺,15063718.0,100457914.0,-85394196.0,机构专用,机构专用
20241227,300941.SZ,创识科技,37417863.0,25384530.0,12033333.0,机构专用,机构专用
20241227,300153.SZ,科泰电源,179243854.0,154450576.0,24793278.0,机构专用,机构专用
20241227,300548.SZ,博创科技,116678746.0,146555133.0,-29876387.0,机构专用,机构专用
20241227,600693.SH,东百集团,17340000.0,0.0,17340000.0,曲江池,国投证券股份有限公司西安曲江池南路证券营业部
20241227,000998.SZ,隆平高科,39108427.0,36480.0,39071947.0,方新侠,中信证券股份有限公司西安朱雀大街证券营业部
20241227,002449.SZ,国星光电,68196572.0,85484.0,68111088.0,方新侠,中信证券股份有限公司西安朱雀大街证券营业部
20241227,000880.SZ,潍柴重机,45388.0,64530728.0,-64485340.0,方新侠,中信证券股份有限公司西安朱雀大街证券营业部
20241227,300252.SZ,金信诺,823434.0,38582915.0,-37759481.0,成都系,国泰君安证券股份有限公司成都北一环路证券营业部
20241227,300153.SZ,科泰电源,59129923.0,29074131.0,30055792.0,成都系,国泰君安证券股份有限公司成都北一环路证券营业部
20241227,603958.SH,哈森股份,17908902.0,0.0,17908902.0,思明南路,东亚前海证券有限责任公司上海分公司
20241227,600397.SH,安源煤业,83333504.55,0.0,83333504.55,宁波桑田路,国盛证券有限责任公司宁波桑田路证券营业部
20241227,603686.SH,福龙马,27844485.4,0.0,27844485.4,宁波桑田路,国盛证券有限责任公司宁波桑田路证券营业部
20241227,600255.SH,鑫科材料,0.0,125639813.23,-125639813.23,宁波桑田路,国盛证券有限责任公司宁波桑田路证券营业部
20241227,600255.SH,鑫科材料,0.0,58671835.5,-58671835.5,宁波和源路,甬兴证券有限公司宁波和源路证券营业部
20241227,002055.SZ,得润电子,2092300.0,0.0,2092300.0,呼家楼,中信证券股份有限公司北京呼家楼证券营业部
20241227,600579.SH,克劳斯,17081874.0,0.0,17081874.0,南京帮,华鑫证券有限责任公司江苏分公司
20241227,300547.SZ,川环科技,42378201.0,183075.0,42195126.0,南京帮,华鑫证券有限责任公司江苏分公司
20241227,600255.SH,鑫科材料,43684056.65,0.0,43684056.65,南京帮,海通证券股份有限公司南京广州路证券营业部
20241227,603366.SH,日出东方,0.0,96497193.12,-96497193.12,佛山系,光大证券股份有限公司佛山绿景路证券营业部
20241227,002137.SZ,实益达,2940510.0,25727671.0,-22787161.0,低位挖掘,东莞证券股份有限公司北京分公司
20241227,002067.SZ,景兴纸业,1443759.0,27250411.0,-25806652.0,低位挖掘,东莞证券股份有限公司北京分公司
20241227,002055.SZ,得润电子,27328.0,6609106.0,-6581778.0,低位挖掘,东莞证券股份有限公司厦门分公司
20241227,002730.SZ,电光科技,10680670.0,18991289.0,-8310619.0,低位挖掘,东莞证券股份有限公司厦门分公司
20241227,002449.SZ,国星光电,63028868.0,36983676.0,26045192.0,低位挖掘,国泰君安证券股份有限公司咸宁咸宁大道证券营业部
20241227,301315.SZ,威士顿,49148372.0,23238.0,49125134.0,低位挖掘,国泰君安证券股份有限公司咸宁咸宁大道证券营业部
20241227,603803.SH,瑞斯康达,0.0,34854723.26,-34854723.26,低位挖掘,国泰君安证券股份有限公司咸宁咸宁大道证券营业部
20241227,300548.SZ,博创科技,102815166.0,74971258.0,27843908.0,低位挖掘,国泰君安证券股份有限公司咸宁咸宁大道证券营业部
20241227,600693.SH,东百集团,14563869.0,0.0,14563869.0,交易猿,华泰证券股份有限公司天津东丽开发区二纬路证券营业部
20241227,600725.SH,云维股份,0.0,11801085.0,-11801085.0,上海超短帮,东方证券股份有限公司上海浦东新区银城中路证券营业部
20241227,002265.SZ,建设工业,70959341.0,11223192.0,59736149.0,上海超短帮,东方证券股份有限公司上海浦东新区银城中路证券营业部
20241227,600255.SH,鑫科材料,56761111.0,0.0,56761111.0,上海超短帮,东方证券股份有限公司上海浦东新区银城中路证券营业部
20241227,300941.SZ,创识科技,21655922.0,110955.0,21544967.0,上海超短帮,东方证券股份有限公司上海浦东新区银城中路证券营业部
20241227,603350.SH,安乃达,7255948.0,0.0,7255948.0,上海超短帮,国泰君安证券股份有限公司上海新闸路证券营业部
20241227,000759.SZ,中百集团,2074.0,42159000.0,-42156926.0,上塘路,联储证券股份有限公司浙江分公司
