trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20250102,002127.SZ,贸易行业,南极电商,4.83,9.77,1365419952.0,,9634421271.51,11857024032.0,14.39,,102057,,1,0/0,,Z
20250102,002184.SZ,专用设备,海得控制,12.85,10.02,452878416.0,,3084995926.4,4522022528.8,15.59,106913400.0,103615,103615,0,2/2,2.0,U
20250102,002187.SZ,商业百货,广百股份,7.79,10.03,509894496.0,,4028294425.14,5484463249.12,12.9,29081628.0,94454,134536,3,1/1,1.0,U
20250102,002190.SZ,汽车零部件,成飞集成,20.3,4.96,906825248.0,,7282205662.9,7282205683.2,12.51,,94551,,1,0/0,,Z
20250102,002193.SZ,纺织服装,如意集团,6.23,10.07,107355966.0,,1630478531.5,1630487876.5,6.76,83903876.0,94524,94524,0,1/1,1.0,U
20250102,002214.SZ,电子元件,大立科技,11.95,7.17,285600288.0,,5724275866.95,7160893335.2,4.97,,101521,,2,0/0,,Z
20250102,002245.SZ,电池,蔚蓝锂芯,11.76,10.01,1259179648.0,,12786192323.52,13548067357.44,9.85,144555096.0,92500,134851,2,1/1,1.0,U
20250102,002265.SZ,汽车零部件,建设工业,25.6,10.01,2365345552.0,,10319283840.0,26445834240.0,23.03,111349760.0,93009,144954,10,2/2,2.0,U
20250102,002269.SZ,纺织服装,美邦服饰,2.24,9.8,794395248.0,,5628000000.0,5628000000.0,14.44,10240608.0,101200,144327,4,1/1,1.0,U
20250102,002306.SZ,旅游酒店,中科云网,3.17,10.07,55529791.0,,2577664536.79,2757147112.32,2.18,52666063.0,93048,93048,0,1/1,1.0,U
20250102,002364.SZ,电源设备,中恒电气,11.87,10.01,1545546288.0,,6624699643.45,6689516075.2,24.09,68410371.0,93512,142621,3,4/8,1.0,U
20250102,002397.SZ,纺织服装,梦洁股份,3.23,9.86,34212483.0,,1898762602.77,2415334051.2,1.8,79818791.0,92500,92500,0,2/2,2.0,U
20250102,002418.SZ,家电行业,康盛股份,2.68,9.84,409559872.0,,3045552000.0,3045552000.0,13.56,14820668.0,93021,112048,3,1/1,1.0,U
20250102,002442.SZ,橡胶制品,龙星化工,6.18,2.83,529425520.0,,3015101298.42,3110357315.52,17.4,,93306,,1,1/2,,Z
